Group 1_12,Group 1_4,Group 1_6,Group 1_7,Group 2_20,Group 2_26,Group 2_28,Group 2_33,Group 3_42,Group 3_44,Group 3_46,Group 3_52,Group 4_57,Group 4_62,Group 4_67,Group 4_69,Proteins,Protein names,Gene names,ProteinAndSite
10.87848663,10.8717041,11.37829494,10.90320206,11.98551941,10.62384033,11.53063393,11.11625195,11.57138443,11.13412189,11.20603752,11.40431595,11.25013924,11.14575863,11.33926201,11.33741283,F6TYB7;P04370;P04370-10;P04370-5;F6VME3;P04370-4;F6RT34;P04370-9;F7A0B0,Myelin basic protein,Mbp,Mbp_T159
10.60676193,10.70637226,10.83425331,10.67947674,10.77110481,10.86286163,10.92955017,10.85441685,10.75568676,10.71463585,10.89388943,10.88514137,10.61586952,10.84395885,10.72028351,10.72058678,P54227;D3Z5N2;D3Z1Z8,Stathmin,Stmn1,Stmn1_S38
10.62106609,10.70763969,10.71093941,10.82616901,10.63788319,10.71691799,10.54638958,10.85574532,10.73258877,10.78749084,10.80015564,10.73927879,10.7477169,10.66858387,10.8393259,10.77887917,O55022,Membrane-associated progesterone receptor component 1,Pgrmc1,Pgrmc1_S181
9.978738785,10.09969711,9.998310089,9.984829903,10.21216011,9.912856102,10.13656616,10.18488884,10.23412514,10.16084385,10.26548195,10.24922466,9.954583168,10.10141277,10.10343838,10.36903477,A2A5Y6;P10637;A0A0A0MQC7;P10637-2;P10637-6;B1AQW2;P10637-4;P10637-3;P10637-5,Microtubule-associated protein;Microtubule-associated protein tau,Mapt,Mapt_S712
9.89515686,9.852930069,9.935984612,9.959112167,9.893543243,9.911029816,9.944865227,10.01664162,9.974766731,9.896362305,10.08163929,9.921316147,9.925076485,9.950555801,9.824551582,9.984493256,P11499;E9Q3D6,Heat shock protein HSP 90-beta,Hsp90ab1,Hsp90ab1_S255
10.10202217,10.05323124,10.16849327,10.01525307,9.975406647,9.974823952,9.558704376,9.575944901,9.826533318,9.915574074,9.793315887,9.827389717,9.718543053,9.781983376,9.981138229,9.620043755,Q62261;Q62261-2,"Spectrin beta chain, non-erythrocytic 1",Sptbn1,Sptbn1_S2102
9.691268921,10.0175333,9.985460281,9.828221321,9.761097908,9.922650337,9.6972332,9.739057541,9.819411278,9.908395767,9.629675865,9.488851547,9.848464966,9.423436165,9.968950272,9.669953346,P61264,Syntaxin-1B,Stx1b,Stx1b_S14
9.774618149,10.05597019,9.990316391,9.868870735,9.764842987,9.611575127,9.374450684,9.532058716,9.83437252,9.749457359,9.525856018,9.685648918,9.577269554,9.420451164,9.72545433,9.697751999,P63318;Q2NKI4,Protein kinase C gamma type;Protein kinase C,Prkcg,Prkcg_T655
9.399058342,9.559194565,9.325918198,9.477596283,9.531417847,9.362832069,9.584906578,9.532527924,9.569268227,9.500815392,9.626738548,9.772639275,9.363108635,9.419216156,9.352415085,9.574724197,A2ARP8;Q9QYR6;Q9QYR6-2,Microtubule-associated protein 1A;MAP1A heavy chain;MAP1 light chain LC2,Map1a,Map1a_S1818
9.085161209,9.143027306,9.283151627,9.143863678,9.16170311,9.266817093,9.015708923,9.188986778,9.183612823,9.156819344,9.330559731,9.18527317,9.092423439,9.234879494,9.161317825,9.475641251,A2A5Y6;P10637;A0A0A0MQC7;P10637-2;P10637-6;B1AQW2;P10637-4;P10637-3;P10637-5,Microtubule-associated protein;Microtubule-associated protein tau,Mapt,Mapt_S510
9.2100811,9.165402412,9.14667511,9.057869911,9.01160717,9.022680283,9.092365265,9.205460548,9.106313705,9.248365402,9.25733757,9.331243515,9.01708889,9.233587265,9.100503922,9.279726028,Q7TQD2,Tubulin polymerization-promoting protein,Tppp,Tppp_S31
8.938735008,9.05328083,8.931413651,8.952919006,9.290445328,8.903531075,9.217077255,9.278325081,9.213409424,9.237693787,9.113443375,9.535012245,9.090015411,9.204156876,9.112205505,9.290712357,Q8R0A5;A2AEC2;Q8CCT4;Q9DB24,Transcription elongation factor A protein-like 3;Transcription elongation factor A protein-like 5,Tceal3;Tceal5;Tceal6,Tceal3_S120
8.735813141,8.864678383,8.759979248,8.811411858,8.875826836,8.829692841,9.014054298,8.887070656,9.027244568,9.03643322,9.21740818,9.079223633,8.880792618,8.960999489,9.061415672,9.05678463,Q8K310;A0A087WSP7;A0A087WQZ1,Matrin-3,Matr3,Matr3_S598
